Closed Positions
ROLLOVER IRA (221807343)
From: 01/01/2020
To: 07/27/2020
All Symbols
07/27/2020 02:35:24 PM ET

Total G/L: 14855.72
Short-Term G/L: 
Long-Term G/L: 14855.72

"Symbol","Security Description","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"ABBV","ABBVIE INC COM USD0.01","450","87.331","92.598","39299","41669.13","","2370.13"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"02/04/2020","02/10/2020","100","84.26","93.938","8,426.00","9,393.81","--","967.81"
"01/17/2020","02/10/2020","100","87.85","93.938","8,785.00","9,393.80","--","608.80"
"01/17/2020","02/10/2020","100","87.975","93.938","8,797.50","9,393.80","--","596.30"
"01/07/2020","01/08/2020","50","88.63","89.918","4,431.50","4,495.91","--","64.41"
"01/07/2020","01/08/2020","100","88.59","89.918","8,859.00","8,991.81","--","132.81"
"AXP","AMERICAN EXPRESS CO COM USD0.20","175","85.98","88.948","15046.55","15565.94","","519.39"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/20/2020","07/21/2020","50","94.31","95.507","4,715.50","4,775.39","--","59.89"
"05/04/2020","05/05/2020","20","85.69","88.308","1,713.80","1,766.16","--","52.36"
"04/16/2020","04/17/2020","20","81.20","86.158","1,624.00","1,723.16","--","99.16"
"04/16/2020","04/17/2020","20","80.70","86.158","1,614.00","1,723.16","--","109.16"
"04/15/2020","04/17/2020","20","83.25","86.158","1,665.00","1,723.16","--","58.16"
"04/14/2020","04/16/2020","20","87.00","80.548","1,740.00","1,610.96","--","-129.04"
"04/01/2020","04/07/2020","25","78.97","89.758","1,974.25","2,243.95","--","269.70"
"BA","BOEING CO COM USD5.00","20","127.72","133.747","2554.4","2674.94","","120.54"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"05/04/2020","05/08/2020","20","127.72","133.747","2,554.40","2,674.94","--","120.54"
"BAC","BK OF AMERICA CORP COM","300","22.891","23.552","6867.5","7065.82","","198.32"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/20/2020","07/21/2020","50","23.48","24.019","1,174.00","1,200.97","--","26.97"
"07/20/2020","07/21/2020","50","23.50","24.019","1,175.00","1,200.97","--","25.97"
"05/04/2020","05/05/2020","50","22.54","23.349","1,127.00","1,167.47","--","40.47"
"05/01/2020","05/05/2020","50","23.03","23.349","1,151.50","1,167.47","--","15.97"
"03/09/2020","04/08/2020","100","22.40","23.289","2,240.00","2,328.94","--","88.94"
"BMGAX","BLACKROCK MID CAP GROWTH EQUITY CL A","115.775","25.912","25.958","3000","3005.35","","5.35"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"12/06/2019","01/03/2020","0.523","0.00","25.965","0.00","13.58","--","13.58"
"11/26/2019","01/03/2020","115.252","26.029","25.958","3,000.00","2,991.77","--","-8.23"
"CCL","CARNIVAL CORP PAIREDCTF","340","8.535","10.439","2901.9","3549.52","","647.62"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"04/02/2020","04/06/2020","20","8.00","10.439","160.00","208.79","--","48.79"
"04/02/2020","04/06/2020","300","8.175","10.439","2,452.50","3,131.93","--","679.43"
"03/27/2020","04/06/2020","20","14.47","10.44","289.40","208.80","--","-80.60"
"CVS","CVS HEALTH CORPORATION COM USD0.01","250","62.556","61.906","15639","15476.65","","-162.35"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"03/26/2020","04/16/2020","100","53.82","61.948","5,382.00","6,194.86","--","812.86"
"03/25/2020","04/16/2020","50","56.70","61.818","2,835.00","3,090.93","--","255.93"
"01/22/2020","04/16/2020","50","74.22","61.818","3,711.00","3,090.93","--","-620.07"
"01/22/2020","04/16/2020","50","74.22","61.998","3,711.00","3,099.93","--","-611.07"
"DAL","DELTA AIR LINES INC DEL COM NEW","100","19.395","21.209","1939.5","2120.95","","181.45"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"05/14/2020","05/18/2020","50","18.79","21.209","939.50","1,060.47","--","120.97"
"05/13/2020","05/18/2020","50","20.00","21.209","1,000.00","1,060.48","--","60.48"
"DIS","DISNEY WALT CO","50","90.98","103.793","4549.04","5189.68","","640.64"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"05/04/2020","05/08/2020","10","101.58","107.898","1,015.80","1,078.98","--","63.18"
"04/03/2020","04/07/2020","10","93.01","102.537","930.10","1,025.37","--","95.27"
"03/27/2020","04/07/2020","10","96.50","102.538","965.00","1,025.38","--","60.38"
"03/18/2020","03/26/2020","20","81.907","102.997","1,638.14","2,059.95","--","421.81"
"EADSY","AIRBUS SE UNSPON ADREA REPR 0.25 ORD EUR1","200","19.38","19.789","3876","3957.91","","81.91"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"06/15/2020","06/16/2020","200","19.38","19.789","3,876.00","3,957.91","--","81.91"
"FBALX","FIDELITY BALANCED","416.652","24","24.69","10000","10287.14","","287.14"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
