Watch List: GoodReturnStocks
07/20/2020 12:37:19 PM ET

"Symbol","Last","Chg","Bid","Ask","Volume","52 Wk Range","Open","Prev Close","Day Range","P/E","EPS","Dividend","Div Ex Date","Earnings Date","News","Notebook"
"SNY","53.8239","0.5639","53.76","53.84","400,218","37.62 - 55.00","53.92","53.26","53.135 - 54.12","41.83","1.115","1.6993994","04/30/2020","02/07/2019","",""
"NVS","87.79","-0.38","87.78","87.8","1,051,123","69.1801 - 99.8429","88.66","88.17","87.54 - 89.03","16.83","5.24","3.0873655","03/03/2020","01/23/2018","",""
"RDSA","32.595","-0.315","32.59","32.6","2,411,072","21.255 - 64.33","32.79","32.91","32.39 - 32.99","13.49","2.44","0.32","05/14/2020","07/30/2020","",""
"GOOS","22.39","-0.28","22.38","22.4","262,011","12.94 - 47.92","22.59","22.67","22.33 - 22.92","22.65","1.36","0","","08/12/2020","",""
"AXP","94.3678","-0.8122","94.36","94.38","1,535,945","67.00 - 138.13","94.8","95.18","93.58 - 95.36","14.42","6.6","0.43","07/01/2020","07/24/2020","","Can buy  some when  it is close 70"
"PK","8.865","-0.295","8.86","8.87","3,254,397","3.99 - 27.03","9.08","9.16","8.83 - 9.13","-4.75","-1.93","0.45","03/30/2020","08/05/2020","",""
"OLN","11.73","-0.39","11.72","11.73","469,184","8.76 - 21.92","12","12.12","11.68 - 12.11","-14.60","-0.83","0.2","05/08/2020","08/05/2020","","buy more at 11.20"
"EADSY","18.77","-0.16","18.75","18.79","176,495","12.80 - 38.45","18.85","18.93","18.70 - 18.93","36.04","0.46","0.50301","04/16/2020","--","",""
"BRK/B","190","-0.76","190","190.01","1,950,282","159.50 - 231.61","190.02","190.76","189.48 - 191.23","0.03","5958","0","","08/03/2020","",""
"QSR","56.59","-1.03","56.58","56.6","423,809","25.08 - 79.46","57.43","57.62","56.44 - 57.74","24.73","2.33","0.52","06/16/2020","07/31/2020","",""
"LMT","364.59","-3.91","364.51","364.66","608,817","266.11 - 442.5322","369","368.5","362.427 - 369.00","16.73","22.03","2.4","08/31/2020","07/21/2020","4:56 AM ET",""
"AAPL","389.905","4.595","389.89","389.92","11,364,221","192.58 - 399.82","385.665","385.31","384.25 - 390.58","30.22","12.75","0.82","05/08/2020","07/30/2020","5:30 AM ET",""
"DIS","117.18","-1.47","117.17","117.19","4,873,213","79.07 - 153.41","118.05","118.65","116.82 - 118.485","41.93","2.83","0.88","12/13/2019","08/04/2020","6:23 AM ET","Need to buy more near 90"
"ABBV","99.7339","-1.0961","99.73","99.74","2,288,265","62.55 - 101.28","100.76","100.83","99.403 - 101.25","17.88","5.64","1.18","07/14/2020","07/31/2020","6:27 AM ET",""
"BAC","23.585","0.365","23.58","23.59","33,990,888","17.95 - 35.72","23.19","23.22","23.11 - 23.60","9.52","2.44","0.18","06/04/2020","10/14/2020","9:04 AM ET","-487.65 per 100 share, I have to make 5 dollars to break even"
"MRK","79.46","-0.41","79.45","79.46","2,073,460","65.25 - 92.64","79.87","79.87","79.065 - 80.20","20.22","3.95","0.61","06/12/2020","07/31/2020","9:40 AM ET","When MRK is 76 or below, lower its value to 76.5 or 77. It can easy go to 78.5."
"JNJ","149.3073","-0.0427","149.29","149.32","2,791,059","109.16 - 157.00","150.23","149.35","148.43 - 150.32","23.30","6.41","1.01","05/22/2020","10/13/2020","10:02 AM ET",""
"KO","45.945","-0.875","45.94","45.95","6,796,594","36.27 - 60.13","46.72","46.82","45.92 - 46.83","20.18","2.32","0.41","09/14/2020","07/21/2020","10:06 AM ET",""
"MCD","190.75","-0.73","190.74","190.78","769,942","124.23 - 221.93","190.9","191.48","190.37 - 191.84","25.10","7.63","1.25","05/29/2020","07/28/2020","10:56 AM ET",""
"AMD","56.59","1.55","56.58","56.59","25,514,440","27.43 - 59.27","55.23","55.04","54.83 - 57.045","128.00","0.43","0","","07/28/2020","10:58 AM ET",""
"UNH","304.35","-2.18","304.31","304.34","952,395","187.72 - 315.84","306.79","306.53","302.3801 - 308.60","21.45","14.29","1.25","06/19/2020","10/13/2020","11:00 AM ET",""
"BA","172.83","-2.83","172.8","172.85","14,608,035","89.00 - 391.00","175.13","175.66","171.62 - 176.26","-29.03","-6.05","2.055","02/13/2020","07/29/2020","11:01 AM ET",""
"WFC","24.56","-0.39","24.56","24.57","20,200,113","22.00 - 54.75","24.72","24.95","24.40 - 24.88","8.75","2.85","0.51","05/07/2020","10/14/2020","11:27 AM ET",""
"WMT","131.6601","-0.0799","131.66","131.68","2,859,412","102.00 - 134.13","131.96","131.74","131.14 - 132.74","25.05","5.26","0.54","08/13/2020","08/18/2020","11:52 AM ET","need to buy some near 110"
"INTC","60.485","0.485","60.48","60.49","7,133,722","43.63 - 69.29","60.08","60","59.34 - 60.52","11.65","5.15","0.33","08/06/2020","07/23/2020","11:55 AM ET",""
"DG","190.27","1.79","190.29","190.34","576,880","125.00 - 194.84","189.62","188.48","189.095 - 190.8634","24.38","7.73","0.36","07/06/2020","08/27/2020","11:56 AM ET",""
"JPM","98.07","-0.09","98.07","98.09","7,277,961","76.91 - 141.10","97.43","98.16","97.26 - 98.39","11.09","8.85","0.9","07/02/2020","10/13/2020","12:36 PM ET",""
"CCL","14.98","-0.49","14.98","14.99","16,453,539","7.80 - 51.94","15.56","15.47","14.91 - 15.9478","-3.85","-4.02","0.5","02/20/2020","09/24/2020","12:30 PM ET",""
"UAL","32.365","-1.555","32.36","32.37","20,894,767","17.80 - 95.455","33.9","33.92","32.26 - 34.39","9.19","3.69","0","","07/21/2020","12:30 PM ET",""
"PFE","36.55","0.3","36.54","36.55","22,213,903","27.88 - 43.23","37.49","36.25","36.32 - 37.62","12.90","2.81","0.38","07/30/2020","07/28/2020","12:32 PM ET",""
"TOTALS","","","","","","","","0","","","","","","","",""
"","","","","","","","","","","","","","","","",""
