Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
AAPL(037833100),"APPLE INC COM USD0.00001",20.00000,07/21/2020,07/21/2020,"$7809.82 ","$7790.00 ","$19.82 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,07/16/2020,07/20/2020,"$4965.39 ","$4986.50 ","($21.11)",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,07/17/2020,07/20/2020,"$5027.88 ","$4986.50 ","$41.38 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/13/2020,01/15/2020,"$8878.82 ","$8856.00 ","$22.82 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/13/2020,01/15/2020,"$8878.82 ","$8850.87 ","$27.95 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/14/2020,01/15/2020,"$8878.82 ","$8754.41 ","$124.41 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/14/2020,01/15/2020,"$8878.80 ","$8750.00 ","$128.80 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",30.00000,12/31/2019,01/08/2020,"$2697.54 ","$2640.00 ","$57.54 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,01/03/2020,01/08/2020,"$4495.91 ","$4417.50 ","$78.41 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,01/06/2020,01/08/2020,"$4495.91 ","$4425.00 ","$70.91 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,01/07/2020,01/08/2020,"$4495.90 ","$4450.00 ","$45.90 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/22/2020,07/23/2020,"$5789.87 ","$5948.00 ","($158.13)",-
,,,,Wash Sale,"$0.00 ","($158.13)","$158.13 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/22/2020,07/23/2020,"$6079.86 ","$6058.13 ","$21.73 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/22/2020,07/23/2020,"$6039.86 ","$5900.00 ","$139.86 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/21/2020,07/21/2020,"$5695.87 ","$5680.00 ","$15.87 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/21/2020,07/21/2020,"$5695.87 ","$5680.00 ","$15.87 ",-
AXP(025816109),"AMERICAN EXPRESS CO COM USD0.20",50.00000,07/17/2020,07/17/2020,"$4802.89 ","$4759.45 ","$43.44 ",-
BA(097023105),"BOEING CO COM USD5.00",100.00000,07/20/2020,07/22/2020,"$17359.61 ","$17580.00 ","($220.39)",-
BA(097023105),"BOEING CO COM USD5.00",50.00000,07/20/2020,07/22/2020,"$8794.30 ","$8790.00 ","$4.30 ",-
BA(097023105),"BOEING CO COM USD5.00",100.00000,07/21/2020,07/22/2020,"$18149.59 ","$17580.00 ","$569.59 ",-
BA(097023105),"BOEING CO COM USD5.00",50.00000,07/15/2020,07/16/2020,"$9393.29 ","$9115.00 ","$278.29 ",-
BA(097023105),"BOEING CO COM USD5.00",50.00000,07/16/2020,07/16/2020,"$9059.79 ","$8902.00 ","$157.79 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,07/16/2020,07/17/2020,"$2396.94 ","$2348.00 ","$48.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,07/17/2020,07/17/2020,"$2356.94 ","$2348.00 ","$8.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,07/15/2020,07/16/2020,"$2461.94 ","$2403.00 ","$58.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,03/23/2020,05/26/2020,"$2399.94 ","$2615.64 ","($215.70)",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/05/2020,05/26/2020,"$2399.95 ","$2336.00 ","$63.95 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/05/2020,05/26/2020,"$2399.95 ","$2334.00 ","$65.95 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/05/2020,05/26/2020,"$2399.95 ","$2330.00 ","$69.95 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/07/2020,05/26/2020,"$2399.95 ","$2324.59 ","$75.36 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/08/2020,05/26/2020,"$2399.94 ","$2350.00 ","$49.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",30.00000,03/03/2020,04/14/2020,"$708.88 ","$813.02 ","($104.14)",-
,,,,Wash Sale,"$0.00 ","($104.14)","$104.14 ",-
BAC(060505104),"BK OF AMERICA CORP COM",70.00000,03/03/2020,04/14/2020,"$1654.06 ","$1898.78 ","($244.72)",-
BAC(060505104),"BK OF AMERICA CORP COM",70.00000,04/03/2020,04/14/2020,"$1654.06 ","$1438.58 ","$215.48 ",-
,,,,Wash Sale,"$0.00 ","($244.72)","$244.72 ",-
BAC(060505104),"BK OF AMERICA CORP COM",50.00000,04/06/2020,04/14/2020,"$1181.47 ","$1068.00 ","$113.47 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,04/07/2020,04/14/2020,"$2362.96 ","$2228.00 ","$134.96 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,04/06/2020,04/07/2020,"$2245.23 ","$2116.00 ","$129.23 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,03/03/2020,04/06/2020,"$2131.95 ","$2838.00 ","($706.05)",-
,,,,Wash Sale,"$0.00 ","($706.05)","$706.05 ",-
BAC(060505104),"BK OF AMERICA CORP COM",20.00000,03/16/2020,04/06/2020,"$426.39 ","$407.20 ","$19.19 ",-
BAC(060505104),"BK OF AMERICA CORP COM",50.00000,03/26/2020,04/06/2020,"$1065.97 ","$1100.00 ","($34.03)",-
,,,,Wash Sale,"$0.00 ","($34.03)","$34.03 ",-
